GroupName,Type,GSRNs
GeoClient 1,Initial,"570714700000004964, 570715000000107078"
GeoClient 2,Initial,"570714700000004704, 570714700000004728, 570714700000004735, 570714700000004742, 570714700000004759, 570714700000005503, 570714700000012396, 570714700000014284, 570714700000014291, 570714700000014307, 570714700000014314, 570714700000014321, 570714700000014338"
GeoClient 3,Initial,"570714700000004469, 570714700000004476, 570714700000004513, 570714700000004520, 570714700000009648, 570714700000009655, 570714700000009662, 570714700000009938, 570714700000009945, 570714700000010750, 570714700000010767, 570714700000010897, 570714700000011825, 570714700000011832"
GeoClient 4,Initial,"570714700000005060, 570714700000005091, 570714700000106682, 570714700000106699"
GeoClient 5,Initial,"570714700000000355, 570714700000000362, 570714700000000379, 570714700000004940, 570714700000004995, 570715000000091681"
GeoClient 6,Initial,"570714700000004568, 570714700000004575, 570714700000004605, 570714700000004810, 570714700000005213, 570714700000106958, 571313174116253585"
GeoClient 7,Initial,"570714700000003585, 570714700000005039, 570714700000005053"
GeoClient 8,Initial,570715000000128905
Cluster 0,Final,"570714700000000355, 570714700000000362, 570714700000000379, 570714700000003585, 570714700000004513, 570714700000004520, 570714700000004605, 570714700000004728, 570714700000004735, 570714700000004742, 570714700000004759, 570714700000004810, 570714700000004940, 570714700000004995, 570714700000005039, 570714700000005053, 570714700000005060, 570714700000005091, 570714700000005213, 570714700000005503, 570714700000009648, 570714700000009655, 570714700000009662, 570714700000009938, 570714700000009945, 570714700000010750, 570714700000010767, 570714700000010897, 570714700000011825, 570714700000011832, 570714700000012396, 570714700000014284, 570714700000014291, 570714700000014307, 570714700000014314, 570714700000014321, 570714700000014338, 570714700000106682, 570714700000106699, 570714700000106958, 570715000000091681, 570715000000107078, 570715000000128905, 571313174116253585"
Cluster 1,Final,570714700000004575
Cluster 2,Final,"570714700000004469, 570714700000004476, 570714700000004568, 570714700000004704, 570714700000004964"
