Cluster,Count,mean_power_scaled_mean,std_power_scaled_mean,cv_scaled_mean,zero_ratio_mean,ramp_mean_scaled_mean,ramp_std_scaled_mean,mean_power_scaled_std,std_power_scaled_std,cv_scaled_std,zero_ratio_std,ramp_mean_scaled_std,ramp_std_scaled_std
0,1,6.7393,6.5103,-0.3305,0.0854,0.0167,6.5882,,,,,,
1,1,-0.5236,-0.7072,6.9056,0.9979,0.0728,-0.6425,,,,,,
2,1,0.4313,0.8034,-0.1829,0.3051,-4.1071,0.9397,,,,,,
3,2,-0.2599,-0.1044,0.0652,0.5853,3.3107,-0.1077,0.1965,0.3117,0.1853,0.169,0.2856,0.277
4,19,0.0918,0.1451,-0.2263,0.1424,-0.0074,0.1004,0.1234,0.1447,0.0345,0.0685,0.2996,0.1271
5,15,-0.4157,-0.5335,-0.1057,0.3054,0.0198,-0.492,0.077,0.1247,0.1469,0.1683,0.1567,0.1039
6,6,-0.1941,-0.1246,-0.1283,0.3012,-0.7612,-0.1167,0.0357,0.0828,0.0886,0.1762,0.4618,0.0998
7,2,-0.4916,-0.5894,0.4113,0.8617,-0.7158,-0.5538,0.0102,0.0189,0.1654,0.035,0.1486,0.0315
8,3,0.1711,0.2582,-0.2297,0.1449,1.0798,0.2034,0.1319,0.1796,0.0027,0.0132,0.1869,0.1797
